qubit,peak_freq_Hz,integrated_power,n_spectra
q0,0.059880239520958084,0.006077278736562838,500
q1,0.41916167664670656,0.006839861476616474,500
q2,0.21956087824351297,0.005837799859805928,500
q4,0.059880239520958084,0.006063163210356093,500
