qubit,files,n_total,mean,std,min,max,discrete_like
q0,1006,504006,-0.0031092190820468,0.17680583969681812,-0.7128289997337797,0.8579433254461639,False
q1,1006,504006,0.003372729310391935,0.17752795377384167,-0.6970068625042037,0.8579504017016315,False
q2,1006,501000,-0.00027357061713788696,0.17598494949868643,-0.6585195440984044,0.6539476358633712,False
q3,1006,501000,0.0022594416816608797,0.17532078521001498,-0.6837413132288942,0.651507740495216,False
q4,1006,501000,-5.898609212256694e-05,0.17703039444018348,-0.6851984416190066,0.6381680035536658,False
