rseed,MAE,ln_MAE,log10_MAE
314,0.0100706812457693,-1.9969411499755525,-1.9969411499755556
315,0.0247222064917462,-1.606912770459228,-1.6069127704592283
316,0.0228922326792798,-1.640311848522266,-1.6403118485222663
317,0.0645216225633219,-1.1902947196861011,-1.1902947196861018
318,0.1023751928225372,-0.9898052672419276,-0.9898052672419277
319,0.0363958943821473,-1.43894760392628,-1.4389476039262807
320,0.0458008335379929,-1.3391266181171635,-1.3391266181171637
321,0.0972944655529425,-1.0119118632072714,-1.0119118632072714
322,0.0254914900183629,-1.5936047785817178,-1.5936047785817187
323,0.0276403334812337,-1.5584567214937166,-1.5584567214937173
324,0.0359542781153097,-1.4442494265236487,-1.4442494265236494
325,0.232807082108287,-0.6330038123650771,-0.6330038123650773
326,0.113816311129267,-0.9437954943046172,-0.9437954943046173
327,0.0305841262346002,-1.5145039224544616,-1.5145039224544627
328,0.0811627979400134,-1.090642989867331,-1.0906429898673315
329,0.0716396857903041,-1.144846327622508,-1.1448463276225085
330,0.0223649197595789,-1.6504326556417648,-1.6504326556417657
331,0.0523862585639295,-1.2807826178349937,-1.2807826178349937
332,0.0134986689026033,-1.8697090549683857,-1.8697090549683888
333,0.0719833313245693,-1.1427680584555495,-1.1427680584555497
334,0.0240200994069923,-1.6194251996050977,-1.6194251996050992
335,0.0305113736279167,-1.5155382398962478,-1.515538239896249
336,0.0205305330716658,-1.687599774103477,-1.6875997741034787
337,0.0645781834099553,-1.189914175889445,-1.1899141758894456
338,0.0276937196854699,-1.557618708018231,-1.557618708018232
339,0.0862131700463205,-1.0644263856654486,-1.064426385665449
340,0.0848212441052031,-1.0714953618685024,-1.0714953618685028
341,0.0377869443413757,-1.422658226086006,-1.4226582260860061
342,0.0384005305010797,-1.4156627758381946,-1.4156627758381954
343,0.0793716802647412,-1.1003344257674248,-1.1003344257674252
344,0.0764061359549895,-1.1168717630946154,-1.1168717630946157
345,0.1031210913030639,-0.986652499607418,-0.9866524996074181
346,0.0836842782521873,-1.07735612515675,-1.0773561251567503
347,0.0800595127639306,-1.0965870573058605,-1.0965870573058603
348,0.0802400148913001,-1.0956089993893223,-1.0956089993893225
349,0.0466931339475709,-1.3307469761343054,-1.3307469761343058
350,0.0731096381118443,-1.136025365820932,-1.1360253658209323
351,0.0755589416041297,-1.1217141341105197,-1.1217141341105197
352,0.0507543018051679,-1.2945271421621316,-1.2945271421621318
353,0.0943754026445193,-1.025141182478836,-1.0251411824788361
354,0.1107636383612834,-0.9556027869976402,-0.9556027869976405
355,0.0287447551096463,-1.5414413869652075,-1.5414413869652084
356,0.0891331078540076,-1.0499609504236609,-1.049960950423661
357,0.0924306762513868,-1.0341838695191548,-1.034183869519155
358,0.1161952925235136,-0.934811466373181,-0.9348114663731811
359,0.1055079536565038,-0.976714800092073,-0.976714800092073
360,0.1694486849775289,-0.7709617971967346,-0.7709617971967347
361,0.0300027634064666,-1.522838742716707,-1.5228387427167083
362,0.0288197922719231,-1.540309153830241,-1.5403091538302411
363,0.0863614105388553,-1.0636802729584802,-1.0636802729584804
364,0.0101597849835792,-1.9931154831380404,-1.9931154831380435
365,0.0249487328455209,-1.6029515074423213,-1.602951507442322
366,0.0184674608915773,-1.733592812008622,-1.7335928120086224
367,0.0769954070574902,-1.1135351806597298,-1.1135351806597298
368,0.0754039136043918,-1.1226061128479543,-1.1226061128479545
369,0.0407130028845834,-1.3902668640144018,-1.390266864014402
370,0.048671098186455,-1.3127288544769202,-1.3127288544769207
371,0.018355796415779,-1.7362267677127283,-1.7362267677127285
372,0.0347928886360737,-1.4585095129992296,-1.45850951299923
373,0.0429198882544542,-1.367341417426895,-1.367341417426895
374,0.088455781897723,-1.053273774238631,-1.0532737742386313
375,0.0400263031431778,-1.3976545197789725,-1.3976545197789731
376,0.0565089111675863,-1.2478830607513796,-1.2478830607513798
377,0.0418394960255569,-1.3784135553701764,-1.3784135553701766
378,0.0585894191665097,-1.232180807403476,-1.2321808074034766
379,0.0809725357282454,-1.0916622601860777,-1.091662260186078
380,0.0302772571187374,-1.5188834710528332,-1.5188834710528345
381,0.0900630018458799,-1.0454535818748103,-1.0454535818748107
382,0.041960891811353,-1.3771552901487925,-1.377155290148793
383,0.0655143988079105,-1.1836632399228582,-1.1836632399228586
384,0.0832735215230017,-1.079493069235428,-1.0794930692354283
385,0.0461751461424798,-1.3355917213609831,-1.3355917213609834
386,0.0298539385683604,-1.5249983651822066,-1.524998365182207
387,0.1203465603442077,-0.9195663178931284,-0.9195663178931284
388,0.0774463136010391,-1.110999249574615,-1.1109992495746155
389,0.0859030412003397,-1.0659914606955785,-1.0659914606955785
390,0.0616081194955202,-1.2103620472556542,-1.2103620472556549
391,0.0186150662149842,-1.7301354146295205,-1.7301354146295205
392,0.08554521387817,-1.0678042835448125,-1.0678042835448125
393,0.0765036667779846,-1.1163177488557734,-1.1163177488557736
394,0.1024763831571017,-0.9893762111579064,-0.9893762111579066
395,0.0293974951487382,-1.5316896726295153,-1.5316896726295164
396,0.0755522273842553,-1.1217527275336685,-1.1217527275336687
397,0.0931974199587927,-1.0305961103195054,-1.0305961103195056
398,0.0792689027140365,-1.1008971535202032,-1.1008971535202037
399,0.0863629458024697,-1.0636725524895183,-1.0636725524895188
400,0.1129636418022144,-0.9470613149722374,-0.9470613149722377
401,0.0686992159174495,-1.1630482196313994,-1.1630482196313996
402,0.0399556232844152,-1.3984220902040354,-1.3984220902040354
403,0.07957202128962,-1.099239609844176,-1.0992396098441761
404,0.0959103220084751,-1.018134650909712,-1.018134650909712
405,0.0299992389954281,-1.5228897620896102,-1.5228897620896116
406,0.0908744280450617,-1.0415583095321388,-1.0415583095321388
