rseed,MAE,ln_MAE
314,0.01007068124576938,-1.9969411499755523
315,0.024722206491746217,-1.6069127704592279
316,0.02289223267927983,-1.6403118485222659
317,0.06452162256332196,-1.1902947196861013
318,0.1023751928225372,-0.9898052672419277
319,0.03639589438214734,-1.43894760392628
320,0.04580083353799291,-1.3391266181171637
321,0.0972944655529425,-1.0119118632072714
322,0.025491490018362952,-1.5936047785817178
323,0.027640333481233743,-1.5584567214937166
324,0.03595427811530975,-1.4442494265236487
325,0.23280708210828707,-0.6330038123650771
326,0.11381631112926703,-0.9437954943046172
327,0.030584126234600287,-1.5145039224544616
328,0.08116279794001345,-1.0906429898673313
329,0.07163968579030415,-1.144846327622508
330,0.02236491975957895,-1.6504326556417648
331,0.05238625856392952,-1.2807826178349935
332,0.013498668902603391,-1.8697090549683857
333,0.07198333132456936,-1.1427680584555495
334,0.024020099406992394,-1.6194251996050975
335,0.030511373627916772,-1.5155382398962478
336,0.02053053307166589,-1.687599774103477
337,0.06457818340995539,-1.189914175889445
338,0.027693719685469957,-1.557618708018231
339,0.08621317004632059,-1.0644263856654486
340,0.08482124410520317,-1.0714953618685024
341,0.03778694434137572,-1.422658226086006
342,0.038400530501079784,-1.4156627758381946
343,0.07937168026474128,-1.1003344257674248
344,0.07640613595498953,-1.1168717630946154
345,0.10312109130306393,-0.986652499607418
346,0.08368427825218737,-1.07735612515675
347,0.08005951276393061,-1.0965870573058603
348,0.0802400148913001,-1.0956089993893225
349,0.046693133947570936,-1.3307469761343054
350,0.07310963811184433,-1.136025365820932
351,0.07555894160412972,-1.1217141341105195
352,0.050754301805167934,-1.2945271421621316
353,0.09437540264451934,-1.025141182478836
354,0.11076363836128347,-0.9556027869976402
355,0.028744755109646365,-1.5414413869652075
356,0.08913310785400767,-1.0499609504236607
357,0.09243067625138683,-1.0341838695191548
358,0.11619529252351363,-0.934811466373181
359,0.1055079536565038,-0.976714800092073
360,0.16944868497752893,-0.7709617971967346
361,0.030002763406466692,-1.522838742716707
362,0.02881979227192312,-1.540309153830241
363,0.08636141053885533,-1.0636802729584802
364,0.010159784983579273,-1.9931154831380404
365,0.024948732845520936,-1.6029515074423213
366,0.018467460891577313,-1.733592812008622
367,0.07699540705749021,-1.1135351806597298
368,0.07540391360439182,-1.1226061128479545
369,0.04071300288458342,-1.3902668640144018
370,0.04867109818645506,-1.3127288544769202
371,0.018355796415779,-1.7362267677127285
372,0.03479288863607372,-1.4585095129992296
373,0.0429198882544542,-1.367341417426895
374,0.08845578189772303,-1.0532737742386313
375,0.040026303143177885,-1.3976545197789723
376,0.05650891116758634,-1.2478830607513796
377,0.041839496025556915,-1.3784135553701764
378,0.05858941916650976,-1.2321808074034761
379,0.08097253572824546,-1.0916622601860777
380,0.030277257118737484,-1.5188834710528332
381,0.09006300184587993,-1.0454535818748105
382,0.041960891811353034,-1.3771552901487925
383,0.06551439880791055,-1.1836632399228582
384,0.08327352152300173,-1.079493069235428
385,0.04617514614247982,-1.3355917213609831
386,0.029853938568360425,-1.5249983651822066
387,0.12034656034420771,-0.9195663178931283
388,0.07744631360103918,-1.110999249574615
389,0.0859030412003397,-1.0659914606955785
390,0.061608119495520294,-1.2103620472556542
391,0.0186150662149842,-1.7301354146295205
392,0.08554521387817005,-1.0678042835448123
393,0.07650366677798463,-1.1163177488557734
394,0.10247638315710178,-0.9893762111579063
395,0.029397495148738274,-1.5316896726295153
396,0.07555222738425532,-1.1217527275336685
397,0.09319741995879273,-1.0305961103195054
398,0.07926890271403655,-1.1008971535202032
399,0.08636294580246975,-1.0636725524895185
400,0.11296364180221445,-0.9470613149722374
401,0.06869921591744955,-1.1630482196313994
402,0.0399556232844152,-1.3984220902040354
403,0.07957202128962004,-1.099239609844176
404,0.0959103220084751,-1.018134650909712
405,0.02999923899542819,-1.5228897620896102
406,0.0908744280450617,-1.0415583095321388
407,0.02661635287797925,-1.5748514542513747
408,0.10296597044734317,-0.9873062829533296
409,0.05796547684439776,-1.2368305871255032
410,0.039734628763559404,-1.4008308401956164
411,0.3258116326709729,-0.48703341384388543
412,0.05510523015497063,-1.2588071793760403
413,0.06342704854040174,-1.1977254972173836
414,0.011920876939828073,-1.9236917952568862
415,0.08836559981698743,-1.0537167702501558
416,0.07986095170273583,-1.097665518624729
417,0.04421372507560064,-1.354442893562213
418,0.07408307304713888,-1.1302810109409416
419,0.07424656957701142,-1.129323607306252
428,0.06108211834698157,-1.2140859098858856
429,0.00885482904798028,-2.0528198189160864
430,0.041600176144095384,-1.3809048304730964
431,0.07017485655732142,-1.1538184664231628
432,0.14622070147438734,-0.8349911369565611
433,0.014189381889575602,-1.8480365226393054
434,0.06814848640070956,-1.166543785539059
435,0.02803488199375157,-1.5523012676222152
436,0.08100639078879131,-1.0914807172346603
437,0.08577315381498105,-1.0666486209441306
438,0.07795738970369141,-1.1081427110662412
439,0.0957397490740485,-1.01890771510244
440,0.015800319330746687,-1.8013341356924284
441,0.01829395467268948,-1.7376924013100783
442,0.08869578456140996,-1.0520970203624398
443,0.09218658828407722,-1.0353322574484796
444,0.08722453331193221,-1.0593613455324147
445,0.08751110491732589,-1.057936832711362
446,0.08161964886684546,-1.088205277922457
447,0.01553836835664383,-1.808594587266736
448,0.08573499405621833,-1.0668418779192723
449,0.07906075465006651,-1.1020390445491388
450,0.05811281053646121,-1.2357281200704406
451,0.06941207873883212,-1.158564949239972
452,0.10227207555396521,-0.99024293020098
453,0.05037742344462068,-1.2977640482789201
454,0.02216667488232114,-1.654299448453577
455,0.08367126313919397,-1.0774236746590704
456,0.08373987453005038,-1.0770676941606658
457,0.052020144502830656,-1.2838284457446287
458,0.14842181866783097,-0.8285022511424344
459,0.012521712806871255,-1.90233626124579
460,0.08484128155892873,-1.0713927799271952
461,0.07227913485289392,-1.1409870543798224
462,0.06399118317946026,-1.1938798597705838
463,0.061877916944359006,-1.2084643147980971
464,0.02399396915349421,-1.6198979038089105
465,0.022962889769082437,-1.6389734589659355
466,0.024838055330395292,-1.6048824097973708
467,0.017097207972666284,-1.7670748054596912
468,0.07939631287382957,-1.1001996655292146
469,0.0780135921458476,-1.1078297244931632
470,0.02147399614938003,-1.6680871291020694
471,0.03521170452166224,-1.4533129511742175
472,0.0751492409767575,-1.1240754015211258
473,0.10204232295134916,-0.9912196634151522
474,0.10103216917328763,-0.9955403225539216
475,0.023851333908125643,-1.6224873276201426
476,0.0733727317480656,-1.1344653113596626
477,0.07588536251819701,-1.1198419868269618
478,0.02519900972727792,-1.5986165258227865
479,0.028153386696885607,-1.550469354443194
480,0.012586553672323707,-1.900093167905064
481,0.035849952071172156,-1.445511420616526
482,0.07751541257144777,-1.1106119371164507
483,0.09044915805785025,-1.0435954713971087
484,0.03292015307748185,-1.4825381540019578
485,0.052912302431167964,-1.2764433401236737
486,0.0799786204989592,-1.0970260910109069
487,0.07238304434154079,-1.1403631549536
488,0.019353233251526058,-1.7132464690949527
489,0.0764176720552348,-1.1168061965477019
490,0.018749228579325577,-1.727016596236751
491,0.0348455645690744,-1.457852494632464
492,0.0856809972872586,-1.06711548715948
493,0.02026340941169341,-1.6932874807866138
494,0.07613531090027155,-1.1184138744726282
495,0.062462760359379386,-1.204378827304712
496,0.08158326506583113,-1.0883989176546431
497,0.0701072526838858,-1.1542370513962579
498,0.0751587228102651,-1.1240206085763957
499,0.07384587589002552,-1.1316737539501007
500,0.03409074153756197,-1.4673635519489114
501,0.08195212527044679,-1.086439779356942
502,0.043477172002390714,-1.3617387126009142
503,0.06673226982250012,-1.1756641028635766
504,0.06583916616728236,-1.181515677966522
505,0.016704230103818298,-1.7771735361508771
506,0.022287704507533604,-1.651934658798715
507,0.0915529458334538,-1.038327677155503
508,0.06247936339116303,-1.2042634041805886
509,0.017217202114457226,-1.7640374222771051
510,0.08974972291242185,-1.0469668835606956
511,0.013059100324781749,-1.8840867417011804
512,0.05858002441124958,-1.2322504516768036
513,0.07273575266261385,-1.138252062767769
514,0.01602721916599742,-1.795141824222811
515,0.06776197029211531,-1.1690139746585622
516,0.044616521320216256,-1.3505042939878398
517,0.08457469177701729,-1.0727595762746494
518,0.0665487635361568,-1.1768600092263117
519,0.07377916297139439,-1.1320662761757194
520,0.0803252381824243,-1.0951479779935722
521,0.08239085133827614,-1.0841210095879288
522,0.14930749501460983,-0.8259183907894669
523,0.0547574677054753,-1.2615566443029824
524,0.010713416328314596,-1.9700720178751518
525,0.017730925888620012,-1.7512685854470502
526,0.08821610747583365,-1.0544521093218617
527,0.018058150357217053,-1.7433267352402322
528,0.10403901931166498,-0.9828037501856968
529,0.08747518973144915,-1.0581151068704113
530,0.04679568341549625,-1.3297942057996095
531,0.06431790632407053,-1.1916681011797265
532,0.08721789375510658,-1.0593944054128752
533,0.06839477689752821,-1.164977062771021
534,0.018730015592733438,-1.7274618610745613
535,0.07589686214257171,-1.1197761790760132
536,0.061724128009104845,-1.2095450367303195
537,0.0697102969144133,-1.1567030674856034
538,0.023394004714269407,-1.6308954269110165
539,0.04205987182417143,-1.3761320551432754
540,0.22042796138942466,-0.6567333158688095
541,0.07046680599820727,-1.15201541303218
542,0.027388459317802247,-1.562432397413662
543,0.06985772660273605,-1.155785551821076
544,0.0764404624184487,-1.1166766943907929
545,0.009629665560830704,-2.016388795700794
546,0.034943627125754335,-1.4566320175287328
547,0.09264191743980404,-1.033192464789906
548,0.07857399054323559,-1.1047211897480993
549,0.20827632847175145,-0.6813600867410767
550,0.02415373969608483,-1.6170156183850946
551,0.024203021873691912,-1.6161304066998556
552,0.07314795984399393,-1.1357977821955614
553,0.0221592034349825,-1.6544458554061254
554,0.08172139472237731,-1.0876642299609878
555,0.01978311136626329,-1.703705404198108
556,0.022203962908541527,-1.6535695068233869
557,0.03658029634375391,-1.4367527805453386
558,0.015577789145783569,-1.8074941788789884
559,0.08171154192538158,-1.0877165941350584
560,0.02346159910664191,-1.629642390365308
561,0.02329098451734552,-1.6328121533110214
562,0.02724915440870553,-1.5646469701334331
563,0.04550103839067186,-1.341978692085899
564,0.08249907638524674,-1.0835509135474821
565,0.06227168794977273,-1.2057093620393742
566,0.02791370821684404,-1.5541824655129064
567,0.08834659267720424,-1.0538101955632586
568,0.016456806880904885,-1.7836544272361738
569,0.07430477466940837,-1.1289832784877083
570,0.09722308313346467,-1.0122306107185894
571,0.06820978898271261,-1.166153294022367
572,0.05015630313981676,-1.2996744814505772
573,0.01362942462502756,-1.865522477800686
574,0.0714977925530558,-1.1457073665461381
575,0.0894667175439345,-1.0483384962512803
576,0.05024391337020388,-1.2989165418644815
577,0.029089102492597302,-1.5362696781522367
578,0.050849333814917345,-1.2937147324639608
579,0.029550784256468773,-1.529430988767933
580,0.08331611093873882,-1.0792710104149392
581,0.08280478963413387,-1.081944541820022
582,0.07095772318089735,-1.149000328151476
583,0.09239111308842136,-1.0343698006659785
584,0.0731478851020262,-1.1357982259542225
585,0.02964980463960684,-1.5279781638248533
586,0.07833338128288173,-1.1060531266068465
587,0.07005870638999005,-1.1545378860431026
588,2.1759930342039495,0.3376575007634452
589,0.04348613603318562,-1.361649179918417
590,0.09591254685408604,-1.018124576634651
591,0.08032376385952464,-1.0951559492886533
592,0.05811377366406327,-1.2357209223883296
593,0.038055118041085134,-1.4195869266062457
594,0.06844001090594258,-1.164689929925936
595,0.09131450786087257,-1.0394602171713436
596,0.025844350058010102,-1.5876343851356403
597,0.07866435182007585,-1.104222031493952
598,0.032084974028005336,-1.4936983079233137
599,0.0750006556250079,-1.1249349401672517
600,0.08244366622395434,-1.0838427036294855
601,0.023115683258423676,-1.636093265064853
602,0.03599334487456417,-1.4437777923283155
603,0.11160392149781657,-0.9523205450495064
604,0.07421385542628574,-1.1295150061301469
605,0.01622453902696439,-1.789827633565477
