rseed,MAE,log10_MAE,ln_MAE
314,0.006265170992492506,-2.203067071504221,-5.072749397711667
315,0.005134575192594957,-2.289495481792817,-5.27175816685336
316,0.0051658251761426,-2.286860295476155,-5.265690426123354
317,0.005856214836946632,-2.2323829994378825,-5.140251816359004
318,0.005216775398828578,-2.2825978608335267,-5.255875807655376
319,0.005396985919204558,-2.2678487150123736,-5.221914644353193
320,0.00584036366284733,-2.2335601097624926,-5.1429622130452595
321,0.005103087283928588,-2.292167003369834,-5.277909572612212
322,0.005313342423251948,-2.2746321946799983,-5.237534183514494
323,0.004780939474994455,-2.3204867542841954,-5.343118208904926
324,0.005876149145087628,-2.230907189725461,-5.136853638915085
325,0.005589900622434889,-2.2525959129564734,-5.186793769712889
326,0.005915943095467186,-2.227976012065857,-5.1301043529311645
327,0.005324134848206798,-2.273750953368201,-5.235505050406619
328,0.004849996401255607,-2.3142585836483365,-5.328777316042173
329,0.005118913692068603,-2.2908221928514623,-5.274813031959708
330,0.0055335419017896684,-2.2569967970851605,-5.196927179903597
331,0.005784501996427878,-2.237734024700676,-5.152573007361346
332,0.005538920963198531,-2.256574831909038,-5.195955569179296
333,0.0055601534097211094,-2.254913225670421,-5.19212957942383
