rseed,MAE,log10_MAE,ln_MAE
314,0.06904193084220671,-1.1608870715455974,-2.673041265590405
315,0.011585088135958018,-1.936100657876196,-4.4580365133616935
316,0.011801461261995905,-1.9280642148353595,-4.439531919415168
317,0.013343260994992698,-1.8747380190657683,-4.3167438159700255
318,0.013547468454061398,-1.8681418515901986,-4.301555579069886
319,0.012960661847755111,-1.887372820264139,-4.345836520862337
320,0.012844108151882059,-1.8912960461787338,-4.354870082369731
321,0.011432990629883904,-1.941840152441992,-4.471252187990216
322,0.012614377533186822,-1.899134175235344,-4.3729180414924445
323,0.013246112237548506,-1.8779115693901824,-4.324051185638887
324,0.013421079127457271,-1.8722125631343818,-4.310928738789402
325,0.012811485241119785,-1.8924005193863245,-4.357413225913141
326,0.013624917235432805,-1.865666127165375,-4.295855012914926
327,0.011887726217259064,-1.9249012055773442,-4.43224882144866
328,0.012989594423687183,-1.8864044087656509,-4.343606670982034
329,0.012083331510283122,-1.9178133093360188,-4.415928337222695
330,0.012733284663757389,-1.8950595517793147,-4.363535874263028
331,0.012340814358807033,-1.9086561806701434,-4.394843269262022
332,0.013211281392737915,-1.879055057116271,-4.3266841634310005
333,0.012817831060815195,-1.8921854567213108,-4.35691802582662
